provider_id,provider_name,contract_date,risk_score,price_per_mwh
P0001,Vertex Concepts Dynamics,2024-06-15,99,35.51
P0002,Elemental Capacitors Technologies,2024-07-26,77,37.99
P0003,Quantum Volt Works,2024-08-18,90,63.95
P0004,Horizon Technologies Innovations,2025-06-07,68,61.23
P0005,Momentum Networks Co.,2025-02-08,33,77.05
P0006,Momentum Grid Inc.,2025-05-02,64,49.33
P0007,Pioneer Current Resources,2024-11-20,80,58.86
P0008,Catalyst Industries Works,2025-01-06,96,40.16
P0009,Apex Charge Corp.,2025-05-16,68,99.4
P0010,Momentum Wave Services,2024-08-18,14,44.6
P0011,Elemental Holdings Ventures,2024-08-18,62,70.86
P0012,Elemental Innovations Resources,2025-04-25,85,63.82
P0013,Quantum Systems Inc.,2024-10-17,58,51.18
P0014,Sunrise Dynamics LLC,2024-07-15,65,56.29
P0015,Vanguard Grid Dynamics,2024-08-07,46,78.21
P0016,Sunrise Power Corp.,2024-12-11,68,98.42
P0017,Summit Wave Services,2024-09-19,61,35.47
P0018,Eclipse Grid Group,2025-04-14,50,94.47
P0019,Zenith Concepts Corp.,2025-03-23,74,99.96
P0020,Fusion Concepts Group,2024-08-02,33,52.23
P0021,Summit Holdings Works,2024-07-29,35,33.12
P0022,Vanguard Solutions Ventures,2024-07-13,18,49.33
P0023,Vertex Grid Corp.,2025-03-23,35,41.15
P0024,Nova Networks Global,2024-10-10,29,32.83
P0025,Vanguard Industries Resources,2024-06-25,93,76.56
P0026,Vanguard Volt Works,2025-02-03,64,48.36
P0027,Radiant Current Technologies,2024-11-28,96,54.51
P0028,Eco Wave Corp.,2025-02-21,13,45.17
P0029,Horizon Enterprises Ventures,2025-05-02,40,71.72
P0030,Vanguard Technologies Group,2025-01-14,16,98.72
P0031,Terra Current Ventures,2024-11-02,33,71.53
P0032,Pioneer Grid Partners,2024-12-31,25,48.15
P0033,Zenith Current Technologies,2025-03-08,37,65.83
P0034,Eclipse Capacitors Inc.,2024-08-04,37,95.33
P0035,Eclipse Wave Holdings,2025-02-10,26,74.31
P0036,Eco Resources Systems,2025-05-30,86,53.87
P0037,Elemental Industries Systems,2025-05-04,11,47.08
P0038,Eclipse Flux Resources,2025-03-27,31,40.44
P0039,Nova Systems Partners,2025-05-13,64,61.55
P0040,Summit Capacitors Services,2024-12-01,73,36.17
P0041,Elemental Enterprises Enterprises,2024-06-22,48,62.2
P0042,Horizon Innovations Ventures,2025-03-26,85,73.7
P0043,Terra Concepts Innovations,2024-11-01,25,89.38
P0044,Eclipse Charge Technologies,2024-11-04,93,58.77
P0045,Symphony Resources Technologies,2025-03-17,22,81.45
P0046,Vanguard Concepts Co.,2024-08-03,25,37.94
P0047,Eclipse Current Inc.,2025-03-23,52,47.25
P0048,Terra Volt Discoveries,2025-03-25,92,59.09
P0049,Vanguard Grid Group,2024-11-07,90,77.21
P0050,Symphony Flux Resources,2024-07-01,4,73.37
P0051,Eco Concepts Partners,2025-03-26,51,50.89
P0052,Nova Grid Inc.,2024-09-24,29,33.08
P0053,Radiant Technologies Inc.,2025-02-21,14,90.76
P0054,Sunrise Technologies LLC,2024-09-27,99,57.38
P0055,Elemental Innovations Systems,2025-04-20,72,86.16
P0056,Vertex Capacitors Discoveries,2024-09-06,67,65.14
P0057,Radiant Resources Discoveries,2024-12-04,78,64.21
P0058,Nova Charge LLC,2025-04-29,56,58.47
P0059,Catalyst Networks Global,2024-08-07,94,74.24
P0060,Elemental Charge Services,2024-07-29,52,80.36
P0061,Catalyst Systems Ventures,2025-02-11,5,58.64
P0062,Pioneer Enterprises Systems,2025-02-23,63,36.43
P0063,Sunrise Enterprises Innovations,2024-09-13,30,36.24
P0064,Vertex Systems Innovations,2025-05-25,8,61.85
P0065,Vertex Industries Group,2024-07-03,64,92.22
P0066,Nova Capacitors Innovations,2024-12-17,61,68.53
P0067,Eclipse Holdings International,2024-09-22,22,36.68
P0068,Momentum Systems Partners,2025-05-11,36,51.63
P0069,Horizon Power Corp.,2024-09-17,72,69.5
P0070,Apex Grid Ventures,2025-03-08,20,56.57
P0071,Radiant Industries Solutions,2024-06-20,12,57.75
P0072,Eco Technologies Resources,2025-01-24,14,83.73
P0073,Symphony Resources International,2024-12-15,11,53.93
P0074,Sunrise Resources Holdings,2025-01-16,99,74.78
P0075,Vanguard Flux Discoveries,2024-12-29,94,64.86
P0076,Vanguard Resources Innovations,2025-03-09,86,32.63
P0077,Vanguard Grid Ventures,2025-05-23,47,67.17
P0078,Apex Resources Ventures,2025-06-03,23,78.84
P0079,Sunrise Industries Services,2025-02-19,28,73.79
P0080,Elemental Systems Global,2024-08-06,1,68.72
P0081,Pioneer Holdings Inc.,2024-10-22,30,81.13
P0082,Vanguard Resources Enterprises,2025-04-08,89,94.54
P0083,Lumina Enterprises Solutions,2025-03-07,71,78.33
P0084,Fusion Charge Enterprises,2025-02-15,1,76.34
P0085,Quantum Wave Partners,2025-03-15,84,63.62
P0086,Eco Innovations Corp.,2025-05-10,65,57.55
P0087,Horizon Flux Resources,2025-03-01,43,59.12
P0088,Apex Holdings Corp.,2025-01-05,76,90.88
P0089,Symphony Networks Works,2025-06-09,15,76.61
P0090,Nova Power Solutions,2024-11-13,91,89.05
P0091,Sunrise Holdings LLC,2024-08-19,53,43.88
P0092,Terra Charge LLC,2025-03-08,95,52.31
P0093,Sunrise Power International,2025-04-01,50,96.43
P0094,Summit Grid Partners,2024-07-07,94,55.41
P0095,Eco Current Global,2025-01-04,58,85.63
P0096,Sunrise Power Holdings,2025-01-02,29,69.12
P0097,Fusion Power Co.,2025-02-27,69,89.24
P0098,Radiant Solutions International,2024-11-02,52,79.49
P0099,Nova Innovations Holdings,2025-02-17,7,87.43
P0100,Symphony Capacitors Inc.,2024-08-21,86,53.71
P0101,Quantum Systems Services,2025-06-07,98,79.76
P0102,Eclipse Concepts Holdings,2024-07-12,24,90.96
P0103,Nova Current Services,2024-12-06,74,55.26
P0104,Momentum Innovations Innovations,2024-07-30,56,54.44
P0105,Apex Charge Partners,2025-03-17,75,44.39
P0106,Vanguard Current Solutions,2024-12-24,32,34.07
P0107,Eco Capacitors Holdings,2025-02-07,34,92.91
P0108,Fusion Enterprises Discoveries,2025-02-01,84,91.41
P0109,Lumina Charge Ventures,2025-04-13,84,82.47
P0110,Eclipse Flux LLC,2025-04-26,46,62.72
P0111,Fusion Solutions Global,2024-07-13,74,44.29
P0112,Lumina Systems Ventures,2024-09-20,91,90.82
P0113,Quantum Dynamics Innovations,2025-05-10,38,48.33
P0114,Radiant Flux Enterprises,2024-07-17,37,42.44
P0115,Pioneer Capacitors Discoveries,2025-05-25,61,57.22
P0116,Symphony Grid Ventures,2024-07-01,18,51.72
P0117,Eclipse Systems Corp.,2024-08-07,12,64.82
P0118,Summit Flux Partners,2025-04-06,86,33.95
P0119,Fusion Systems LLC,2024-12-28,10,97.36
P0120,Nova Networks Resources,2025-05-02,19,42.51
P0121,Sunrise Enterprises Solutions,2024-09-21,21,47.92
P0122,Radiant Industries Holdings,2025-01-07,38,96.12
P0123,Fusion Industries Dynamics,2025-01-02,32,90.85
P0124,Lumina Innovations Corp.,2024-08-17,4,65.19
P0125,Sunrise Enterprises Enterprises,2025-04-27,50,92.57
P0126,Summit Industries International,2024-09-06,10,61.6
P0127,Quantum Industries LLC,2025-06-10,11,45.84
P0128,Elemental Capacitors Systems,2025-06-11,25,49.62
P0129,Eclipse Charge Services,2025-03-17,57,52.44
P0130,Quantum Flux Innovations,2024-09-09,25,69.23
P0131,Zenith Solutions Works,2025-04-21,3,40.39
P0132,Vertex Dynamics Corp.,2025-01-16,56,62.21
P0133,Horizon Charge Works,2024-10-01,66,89.45
P0134,Symphony Enterprises Services,2024-12-10,83,39.95
P0135,Pioneer Resources Enterprises,2025-05-20,39,60.85
P0136,Horizon Current Systems,2025-03-23,31,43.25
P0137,Apex Current Corp.,2025-01-31,44,61.14
P0138,Symphony Enterprises Discoveries,2024-07-28,92,59.71
P0139,Catalyst Holdings Discoveries,2025-05-28,97,43.76
P0140,Symphony Current Systems,2024-06-30,82,85.51
P0141,Pioneer Flux Innovations,2025-02-14,93,46.63
P0142,Lumina Capacitors Partners,2025-03-22,89,94.32
P0143,Horizon Resources Global,2024-08-15,1,79.59
P0144,Apex Wave Solutions,2025-04-21,11,31.61
P0145,Momentum Resources Resources,2024-08-26,56,34.53
P0146,Pioneer Concepts Resources,2025-04-01,42,33.06
P0147,Terra Wave Services,2024-11-21,97,32.9
P0148,Catalyst Networks Services,2024-11-24,100,71.61
